word,Count
Agostino,6
Babbitt,8
Bach,166
Bach,32
Banchieri,10
Baptiste,10
Barber,17
Bartók,54
Bax,5
Beach,10
Beethoven,123
Beethoven,17
Bellini,5
Benjamin,39
Berg,36
Berg,11
Berio,6
Berlioz,32
Bernstein,12
Biber,5
Bloch,9
Boulanger,5
Boulez,13
Boyce,5
Brahms,99
Bridge,6
Britten,41
Bruckner,24
Bruckner,6
Busoni,11
Busoni,6
Buxtehude,8
Byrd,12
Cage,16
Carissimi,6
Carter,20
Castelnuovo,5
Cavalli,11
Chadwick,7
Charpentier,12
Cherubini,10
Chopin,38
Copland,23
Corigliano,8
Cowell,9
Crumb,11
Dallapiccola,7
Davies,6
Davis,6
Day,9
Debussy,72
Delius,8
Dickinson,9
Dittersdorf,5
Dohnányi,5
Dufay,9
Dukas,5
Dvorák,7
Eichendorff,7
Elgar,9
Ellington,5
Elliott,16
Falla,7
Fauré,22
Field,7
Franck,12
Frescobaldi,9
Froberger,6
Gershwin,9
Gottschalk,7
Grainger,8
Graun,6
Graupner,5
Griffes,6
Handel,47
Handel,6
Handel,10
Harris,6
Harrison,9
Hasse,7
Haydn,91
Haydn,14
Henze,5
Hindemith,42
Hindemith,7
Hoffmann,8
Honegger,8
Howells,8
Hummel,10
Ives,37
Janácek,11
Janácek,6
Johnson,6
Jommelli,5
Josquin,16
Kodály,5
Krenek,8
Larsen,5
Lasso,13
Lawes,5
Legrenzi,8
Ligeti,11
Liszt,72
Liszt,9
Lobos,8
Lully,10
Lutoslawski,9
Machaut,15
Mahler,71
Mahler,13
Marais,5
Marenzio,8
Massenet,5
Mattheson,5
Maxwell,8
Mendelssohn,51
Mendelssohn,5
Mersenne,7
Merulo,5
Messiaen,44
Meyerbeer,7
Milhaud,24
Monteverdi,19
Moore,5
Morales,5
Mozart,130
Mozart,20
Nielsen,7
Nikolai,12
Ockeghem,7
Orff,5
Paganini,5
Palestrina,11
Parker,7
Parry,6
Persichetti,8
Petrucci,7
Pfitzner,5
Pleyel,5
Poulenc,20
Powell,7
Praetorius,6
Prokofiev,10
Puccini,15
Puccini,7
Purcell,22
Rachmaninoff,11
Rameau,29
Ravel,32
Reger,23
Reich,6
Reicha,6
Riegger,5
Riemann,7
Ritter,6
Rochberg,8
Rorem,6
Roslavets,5
Rossi,5
Rossini,8
Rousseau,7
Roussel,6
Saint-Saëns,10
Scarlatti,16
Schoenberg,80
Schoenberg,14
Schoenberg,15
Schreker,5
Schreker,5
Schubert,60
Schubert,14
Schumann,77
Schumann,19
Schütz,18
Scriabin,20
Senfl,5
Shostakovich,15
Sibelius,14
Smith,8
Soler,8
Sowerby,5
Spohr,6
Stamitz,6
Stradella,5
Strauss,42
Stravinsky,61
Szymanowski,9
Takemitsu,8
Tallis,5
Taylor,6
Tchaikovsky,6
Tedesco,5
Telemann,19
Tinctoris,5
Tippett,9
Vanhal,5
Varèse,12
Verdi,29
Verdi,9
Vitry,5
Vivaldi,18
Wagner,62
Wagner,20
Walker,5
Wallingford,6
Walton,7
Ward,7
Weber,17
Webern,31
Webern,10
Weill,15
Weiss,5
Wellesz,6
Wesley,8
Wieck,5
Wolf,16
Wolfenbüttel,6
Xenakis,8
Zarlino,7
